Site,Minutes of Data Used (Max 1440),Last Minute of Data Series, , , , , , , , , , , , , , , ,
Wellesbourne,1440,28-Sep-2016 08:50:00, , , , , , , , , , , , , , , ,
Daily Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09,Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09,10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24,Sunshine Total Previous Day 00-24,
28/9/2016,900,20.20,14.55,0.00,15.91,11.34,0.0,20.20,11.34,0.0,10.03,10.30,13.39,15.46,15.95, ,0.80,
Hourly Summary Data, , , , , , , , , , , , , , , , , ,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature,10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature,Rainfall Total since 0900,Radiation Total since 0900,Sunshine total since 0900,Humidity, , , ,
27/9/2016,1000, , ,16.49,14.60,17.51,17.34,14.26,15.27,16.10,0.0, ,0.00,89, , , ,
27/9/2016,1100, , ,17.23,15.52,18.59,18.53,14.74,15.28,16.10,0.0, ,0.00,89.7, , , ,
27/9/2016,1200, , ,17.38,15.79,18.04,18.17,15.19,15.28,16.09,0.0, ,0.00,90.4, , , ,
27/9/2016,1300, , ,18.62,16.35,20.63,20.64,15.53,15.30,16.09,0.0, ,0.02,86.7, , , ,
27/9/2016,1400, , ,19.47,16.04,21.44,21.88,16.08,15.34,16.08,0.0, ,0.03,80.5, , , ,
27/9/2016,1500, , ,19.06,15.82,19.67,20.19,16.60,15.39,16.06,0.0, ,0.20,81.5, , , ,
27/9/2016,1600, , ,19.81,16.22,21.63,22.07,16.68,15.45,16.06,0.0, ,0.55,79.8, , , ,
27/9/2016,1700, , ,18.87,15.95,19.00,19.36,16.79,15.52,16.04,0.0, ,0.67,83.1, , , ,
27/9/2016,1800, , ,17.87,15.74,17.00,17.32,16.60,15.59,16.04,0.0, ,0.80,87.4, , , ,
27/9/2016,1900, , ,16.86,15.49,15.98,16.23,16.18,15.66,16.02,0.0, ,0.80,91.6, , , ,
27/9/2016,2000, , ,15.93,14.61,14.55,14.77,15.86,15.73,16.01,0.0, ,0.80,91.9, , , ,
27/9/2016,2100, , ,14.56,13.47,13.36,13.68,15.42,15.78,16.01,0.0, ,0.80,93.1, , , ,
27/9/2016,2200, , ,14.07,12.77,12.71,12.98,14.95,15.80,15.99,0.0, ,0.80,91.8, , , ,
27/9/2016,2300, , ,12.88,11.91,11.48,11.85,14.53,15.82,15.98,0.0, ,0.80,93.8, , , ,
28/9/2016,0000, , ,12.61,11.56,11.53,11.60,14.10,15.83,15.98,0.0, ,0.80,93.3, , , ,
28/9/2016,0100, , ,12.33,11.17,11.04,11.25,13.77,15.81,15.97,0.0, ,0.80,92.6, , , ,
28/9/2016,0200, , ,11.62,10.49,10.36,10.60,13.46,15.79,15.97,0.0, ,0.80,92.8, , , ,
28/9/2016,0300, , ,11.99,10.77,10.72,10.71,13.13,15.75,15.96,0.0, ,0.80,92.3, , , ,
28/9/2016,0400, , ,12.68,11.09,11.01,11.08,12.99,15.70,15.95,0.0, ,0.80,90.0, , , ,
28/9/2016,0500, , ,12.62,11.03,11.28,11.28,12.87,15.66,15.95,0.0, ,0.80,90.0, , , ,
28/9/2016,0600, , ,12.49,10.84,11.12,11.09,12.75,15.61,15.95,0.0, ,0.80,89.6, , , ,
28/9/2016,0700, , ,12.62,11.19,11.74,11.47,12.67,15.55,15.95,0.0, ,0.80,91.0, , , ,
28/9/2016,0800, , ,14.34,12.21,14.66,14.38,12.84,15.51,15.95,0.0, ,1.67,87.0, , , ,
28/9/2016,0900, , ,15.91,12.81,21.12,17.09,13.39,15.46,15.95,0.0, ,2.20,81.8, , , ,
